
Q55058799,P235,JANBVBCLMZUUHR-IAGOWNOFSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q56615642,P235,ACSQLTBPYZSGBA-GMXVVIOVSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q19597962,P235,SQOCEMCKYDVLMM-UHFFFAOYSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q55810358,P235,XJWIEWPGHRSZJM-MGZASHDBSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q39045855,P235,PIDANAQULIKBQS-VUOZLLHNSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q28209753,P235,YCQBLTPGQSYLHD-VHXPQNKSSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q56119189,P235,XZWRXMFAFBSAJC-ONEGZZNKSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q56501491,P235,IENASMFTJRLBJP-CEGNMAFCSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q18209997,P235,PCCHVYNGFMEGIG-QPAIBFMUSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q4650003,P235,GIMHPAQOAAZSHS-HNNXBMFYSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q16635985,P235,LICVGLCXGGVLPA-UHFFFAOYSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q55602850,P235,IOLODVBMNDJVOP-XDQPPUBWSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q4653308,P235,MDJYHWLDDJBTMX-UHFFFAOYSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q48845466,P235,WANIDIGFXJFFEL-SANMLTNESA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q25203952,P235,KHUMQRAGNPGBIE-UHFFFAOYSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q7041506,P235,BNIFBESUYAAZKT-UHFFFAOYSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q4540633,P235,QSHBOMWRGOGQOF-KNIAUWFNSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
Q18208892,P235,KJNZIEGLNLCWTQ-UHFFFAOYSA-N,S248,Q278487,S813,+2018-10-27T00:00:00Z/11
