wikilabel,pubchem
Q25203952,73672564
Q25304545,6914523
Q25312872,14287397
Q25323688,6364547
Q25323741,22062653
Q25323749,141941
Q25323764,12543719
Q25323789,101411594
Q25323800,46872626
Q25323807,139547
Q25323815,23241800
Q25323844,13042
Q25323855,10422105
Q25323940,101862500
Q25323945,95162631
Q25384953,12335
Q25385543,87494
Q25385768,16239
Q25387197,586279
Q25387695,123306
Q25387788,16213782
Q25387966,6458
Q25393175,5367893
Q25881871,10999061
Q26827841,22790422
Q26840771,41322
Q26878005,85963
Q26900199,415627
Q26998324,2833
Q27063662,119688
Q27063660,70088
Q27116206,143265
Q27444428,2272
Q27699277,167073
Q27882236,159693
Q27891747,68137
Q27899280,76285390
Q27902947,118705155
Q27902945,24877749
Q27902951,5359675
Q27921277,13629069
Q27926570,24864036
Q27949298,222286
Q27984391,101951
Q28101340,591073
Q28130029,134506
Q28130653,91758682
Q28130686,102314
Q28131928,9929198
Q28131938,104128
Q28131936,20837712
Q28131937,20837715
Q28131951,10873814
Q28131948,320801
Q28131954,9839132
Q28131955,101730066
Q28131957,9882863
Q28131962,44352223
Q28131960,114819
Q28131961,13908542
Q28131976,151084
Q28131983,351707
Q28131987,3085209
Q28131985,101548739
Q28131988,44150473
Q28131994,9932961
Q28131999,102122
Q28131997,90488882
Q28132007,9780743
Q28132011,11197479
Q28132023,57463467
Q28132021,164765
Q28132032,128659
Q28132033,44135379
Q28132041,101982710
Q28134301,256737
Q28136957,10478916
Q28151293,189105
Q28151361,124372
Q28155550,15816431
Q28163629,16132283
Q28176403,74110
Q28209079,91810392
Q28209089,159972
Q28209093,135035
Q28209097,170652
Q28209102,11723045
Q28209262,219833
Q28209286,3036244
Q28209291,124946
Q28209289,3037081
Q28209292,126479
Q28209296,161290
Q28209300,67087
Q28209318,3032407
Q28209322,225683
Q28209321,21252247
Q28209328,67081
Q28209336,22296422
Q28209354,22808244
Q28209454,110817
Q28209486,44633776
Q28209543,102175205
Q28209560,66415
Q28209586,125204
Q28209590,9948430
Q28209588,10025840
Q28209607,44219330
Q28209630,53649607
Q28209650,197766
Q28209653,197608
Q28209658,135893
Q28209659,10473548
Q28209657,127441
Q28209663,196635
Q28209666,11231075
Q28209668,66409
Q28209669,67083
Q28209673,11358924
Q28209681,87450
Q28209690,4207747
Q28209688,12139089
Q28209704,91758695
Q28209714,10335195
Q28209718,194095
Q28209735,5320486
Q28209753,68037237
Q28209756,20538550
Q28209760,6442656
Q28209770,641296
Q28209772,168943
Q28209787,9925763
Q28209791,68578
Q28209797,87921126
Q28209808,24896626
Q28403305,46861578
Q28407533,1729084
Q28450452,43367115
Q28455202,263626
Q28456348,142246
Q28456694,245013
Q28457222,6427071
Q28473937,69005
Q28504204,24850092
Q28504294,79831
Q28654981,126670
Q28936223,168563
Q29053930,5351157
Q29178580,101084382
Q29348562,12304
Q29354953,91660
Q29414987,12250
Q29415023,23238
Q29460410,76716
Q29460515,6327711
Q29512077,12155
Q29520773,6365049
Q29529833,143357
Q29563671,66176
Q29563807,61475
Q29565403,56845409
Q29652931,23677815
Q29653286,69386
Q29706742,96260
Q29708688,18766
Q30091124,10324
Q30098653,75755
Q30314602,345267
Q30314886,129417
Q30315072,44542342
Q30315082,25154755
Q30315140,6451472
Q30611685,150899
Q30647374,11725391
Q30682138,193284
Q30694097,11267
Q30694344,136064
Q30715332,111077
Q30715333,2779022
Q31948091,20469
Q32391749,6336980
Q34200305,12465
Q35973767,254741411
Q38133599,76292
Q39045244,5745
Q39045855,68141632
Q39045853,9873581
Q39045859,20055293
Q39045941,3039780
Q39045948,119845
Q39045972,162502
Q39045983,188963
Q39046548,191783
Q39047578,22798397
Q39048457,20373272
Q39048804,10484474
Q39050151,45107537
Q39053683,63023
Q39059979,10130337
Q39088119,151449
Q40851908,15824
Q41620735,83334
Q41631126,74167
Q41633653,16585
Q41669766,75030
Q41706676,74197
Q41709321,6330566
Q41727450,223973
Q41742331,15382848
Q41744484,20723
Q41751073,2733353
Q41875350,5460299
Q42750891,21649
Q42751037,70448
Q43105370,77455
Q43135875,166660
Q43259451,101090846
Q43550570,5288382
Q43653509,13628811
Q43684986,77922
Q43685233,124321
Q43685481,95365
Q43685668,5152226
Q43685794,11031986
Q43686037,13416
Q43686282,12628831
Q43686410,14886011
Q44007750,6439037
Q44165697,71501071
Q44431351,67583
Q46664726,12406954
Q46664836,12037036
Q48333728,124081896
Q48814684,11252043
Q48835922,103611
Q48836121,91965
Q48836822,4535
Q48841145,118614933
Q48845417,16656889
Q48845466,73051463
Q48862278,66428
Q48862528,9839851
Q48995737,197765
Q48996255,136703
Q48997082,85264
Q48998086,74703
Q48998986,67341
Q48999691,53439651
Q50666929,54683737
Q52127528,15952561
Q53864639,18699
Q53947435,14601092
Q54086381,24687
Q54095141,11955373
Q54197420,15959344
Q54347164,22172
Q54554850,78612
Q54727900,24585
Q54805668,124708052
Q54806830,12566815
Q54819652,32326
Q55058799,59051490
Q55097413,51346964
Q55216197,16211478
Q55461790,11250
Q55600327,101752
Q55602695,6451883
Q55602850,71316183
Q55602851,22792507
Q55605401,140692
Q55606816,122706255
Q55607452,9799774
Q55608737,126290
Q55608810,193715
Q55608811,169573
Q55610333,54756093
Q55611079,9864027
Q55613679,66107
Q55622699,23265655
Q55624326,86683490
Q55624327,57359308
Q55625370,16924
Q55630537,134580
Q55630984,66408
Q55633082,10213385
Q55636107,12127156
Q55636955,189099
Q55638231,21589240
Q55646261,70473
Q55681094,146286
Q55692557,9865941
Q55692751,87174233
Q55698313,129775542
Q55718181,20441
Q55739636,5365501
Q55739645,5462921
Q55754239,636723
Q55756695,85734
Q55759135,5316718
Q55774226,3035912
Q55777641,10687097
Q55809913,318797
Q55810358,66577115
Q55829846,5316944
Q55830219,9168
Q55830378,15327806
Q55846129,102382551
Q55846441,2762650
Q55852473,25200652
Q55866570,25209098
Q55867824,68153
Q55890969,10417482
Q55903733,357594
Q55929359,65724
Q55949816,56614500
Q55957911,20055225
Q55957971,20055226
Q55958021,101586590
Q55961000,16211404
Q55972278,160166
Q55972704,65163
Q55973849,6323462
Q55973963,24781705
Q55995547,12302222
Q55997769,11533
Q55999876,73587
Q56000006,5487797
Q56011207,157429
Q56024882,21600408
Q56025003,9939943
Q56025259,24898203
Q56025279,16736906
Q56025326,16736905
Q56035523,12245
Q56035538,12016
Q56045805,78310
Q56054487,6451463
Q56054496,10197612
Q56065839,90473758
Q56065841,12314502
Q56065853,46239916
Q56066107,25163936
Q56071677,24762165
Q56109997,67750
Q56119189,69120707
Q56119216,11377
Q56119635,67553
Q56122646,2743
Q56218982,66965
Q56232384,16688802
Q56354977,145983
Q56355272,92808
Q56373659,9225
Q56402350,53477542
Q56407722,121488186
Q56410901,23687519
Q56438644,51760
Q56450441,394162
Q56459048,23674754
Q56459065,9813164
Q56459843,5464156
Q56462447,13871063
Q56501456,24898732
Q56501475,66429
Q56501491,68524848
Q56559272,54678490
Q56560022,26337
Q56604713,9354
Q56605537,5377225
Q56615642,60164925
Q56628313,224167
Q56628399,162324
